HS_CODE,COMMODITY_DESC,GEOGRAPHY_CODE,GEOGRAPHY_DESC,ATTRIBUTE_DESC,ATTRIBUTE_UNIT,YEAR_ID,TIMEPERIOD_ID,AMOUNT
305204020,"SALMON ROE, DRIED, SMOKED, SALTED OR IN BRINE",1,,US Export,QTY,2015,10,1253
305204020,"SALMON ROE, DRIED, SMOKED, SALTED OR IN BRINE",1,,US Export,QTY,2015,11,32759
305204020,"SALMON ROE, DRIED, SMOKED, SALTED OR IN BRINE",1,,US Export,QTY,2015,12,47571
305204020,"SALMON ROE, DRIED, SMOKED, SALTED OR IN BRINE",1,,US Export,QTY,2016,1,
305204020,"SALMON ROE, DRIED, SMOKED, SALTED OR IN BRINE",1,,US Export,QTY,2016,2,
305204020,"SALMON ROE, DRIED, SMOKED, SALTED OR IN BRINE",1,,US Export,QTY,2016,3,
305204020,"SALMON ROE, DRIED, SMOKED, SALTED OR IN BRINE",1,,US Export,QTY,2016,4,
305204020,"SALMON ROE, DRIED, SMOKED, SALTED OR IN BRINE",1,,US Export,VLU,2015,1,30438
305204020,"SALMON ROE, DRIED, SMOKED, SALTED OR IN BRINE",1,,US Export,VLU,2015,2,66463
305204020,"SALMON ROE, DRIED, SMOKED, SALTED OR IN BRINE",1,,US Export,VLU,2015,3,36254
305204020,"SALMON ROE, DRIED, SMOKED, SALTED OR IN BRINE",1,,US Export,VLU,2015,4,415730
305204020,"SALMON ROE, DRIED, SMOKED, SALTED OR IN BRINE",1,,US Export,VLU,2015,5,87937
305204020,"SALMON ROE, DRIED, SMOKED, SALTED OR IN BRINE",1,,US Export,VLU,2015,6,671624
305204020,"SALMON ROE, DRIED, SMOKED, SALTED OR IN BRINE",1,,US Export,VLU,2015,7,295721
305204020,"SALMON ROE, DRIED, SMOKED, SALTED OR IN BRINE",1,,US Export,VLU,2015,8,431296
305204020,"SALMON ROE, DRIED, SMOKED, SALTED OR IN BRINE",1,,US Export,VLU,2015,9,1781813
305204020,"SALMON ROE, DRIED, SMOKED, SALTED OR IN BRINE",1,,US Export,VLU,2015,10,23193
305204020,"SALMON ROE, DRIED, SMOKED, SALTED OR IN BRINE",1,,US Export,VLU,2015,11,421125
305204020,"SALMON ROE, DRIED, SMOKED, SALTED OR IN BRINE",1,,US Export,VLU,2015,12,505947
305204020,"SALMON ROE, DRIED, SMOKED, SALTED OR IN BRINE",1,,US Export,VLU,2016,1,
305204020,"SALMON ROE, DRIED, SMOKED, SALTED OR IN BRINE",1,,US Export,VLU,2016,2,
305204020,"SALMON ROE, DRIED, SMOKED, SALTED OR IN BRINE",1,,US Export,VLU,2016,3,
305204020,"SALMON ROE, DRIED, SMOKED, SALTED OR IN BRINE",1,,US Export,VLU,2016,4,
305410000,"PACIFIC, ATLANTIC AND DANUBE SALMON, SMOKED",1,,US Export,QTY,2015,1,5414
305410000,"PACIFIC, ATLANTIC AND DANUBE SALMON, SMOKED",1,,US Export,QTY,2015,2,9146
305410000,"PACIFIC, ATLANTIC AND DANUBE SALMON, SMOKED",1,,US Export,QTY,2015,3,17664
305410000,"PACIFIC, ATLANTIC AND DANUBE SALMON, SMOKED",1,,US Export,QTY,2015,4,12018
305410000,"PACIFIC, ATLANTIC AND DANUBE SALMON, SMOKED",1,,US Export,QTY,2015,5,12171
305410000,"PACIFIC, ATLANTIC AND DANUBE SALMON, SMOKED",1,,US Export,QTY,2015,6,5942
305410000,"PACIFIC, ATLANTIC AND DANUBE SALMON, SMOKED",1,,US Export,QTY,2015,7,6694
305410000,"PACIFIC, ATLANTIC AND DANUBE SALMON, SMOKED",1,,US Export,QTY,2015,8,11252
305410000,"PACIFIC, ATLANTIC AND DANUBE SALMON, SMOKED",1,,US Export,QTY,2015,9,4978
305410000,"PACIFIC, ATLANTIC AND DANUBE SALMON, SMOKED",1,,US Export,QTY,2015,10,17806
305410000,"PACIFIC, ATLANTIC AND DANUBE SALMON, SMOKED",1,,US Export,QTY,2015,11,7172
305410000,"PACIFIC, ATLANTIC AND DANUBE SALMON, SMOKED",1,,US Export,QTY,2015,12,8871
305410000,"PACIFIC, ATLANTIC AND DANUBE SALMON, SMOKED",1,,US Export,QTY,2016,1,
305410000,"PACIFIC, ATLANTIC AND DANUBE SALMON, SMOKED",1,,US Export,QTY,2016,2,18376
305410000,"PACIFIC, ATLANTIC AND DANUBE SALMON, SMOKED",1,,US Export,QTY,2016,3,26241
305410000,"PACIFIC, ATLANTIC AND DANUBE SALMON, SMOKED",1,,US Export,QTY,2016,4,12625
305410000,"PACIFIC, ATLANTIC AND DANUBE SALMON, SMOKED",1,,US Export,VLU,2015,1,101022
305410000,"PACIFIC, ATLANTIC AND DANUBE SALMON, SMOKED",1,,US Export,VLU,2015,2,225252
305410000,"PACIFIC, ATLANTIC AND DANUBE SALMON, SMOKED",1,,US Export,VLU,2015,3,473637
305410000,"PACIFIC, ATLANTIC AND DANUBE SALMON, SMOKED",1,,US Export,VLU,2015,4,286278
305410000,"PACIFIC, ATLANTIC AND DANUBE SALMON, SMOKED",1,,US Export,VLU,2015,5,307184
305410000,"PACIFIC, ATLANTIC AND DANUBE SALMON, SMOKED",1,,US Export,VLU,2015,6,135612
305410000,"PACIFIC, ATLANTIC AND DANUBE SALMON, SMOKED",1,,US Export,VLU,2015,7,130502
305410000,"PACIFIC, ATLANTIC AND DANUBE SALMON, SMOKED",1,,US Export,VLU,2015,8,304085
305410000,"PACIFIC, ATLANTIC AND DANUBE SALMON, SMOKED",1,,US Export,VLU,2015,9,132503
305410000,"PACIFIC, ATLANTIC AND DANUBE SALMON, SMOKED",1,,US Export,VLU,2015,10,301310
305410000,"PACIFIC, ATLANTIC AND DANUBE SALMON, SMOKED",1,,US Export,VLU,2015,11,127621
305410000,"PACIFIC, ATLANTIC AND DANUBE SALMON, SMOKED",1,,US Export,VLU,2015,12,242768
305410000,"PACIFIC, ATLANTIC AND DANUBE SALMON, SMOKED",1,,US Export,VLU,2016,1,203497
305410000,"PACIFIC, ATLANTIC AND DANUBE SALMON, SMOKED",1,,US Export,VLU,2016,2,381882
305410000,"PACIFIC, ATLANTIC AND DANUBE SALMON, SMOKED",1,,US Export,VLU,2016,3,465731
305410000,"PACIFIC, ATLANTIC AND DANUBE SALMON, SMOKED",1,,US Export,VLU,2016,4,227093
1604112000,"SALMON, WHOLE/PIECES, IN OIL IN AIRTIGHT CONTAINER",1,,US Export,QTY,2015,1,1088245
1604112000,"SALMON, WHOLE/PIECES, IN OIL IN AIRTIGHT CONTAINER",1,,US Export,QTY,2015,2,683628
1604112000,"SALMON, WHOLE/PIECES, IN OIL IN AIRTIGHT CONTAINER",1,,US Export,QTY,2015,3,968477
1604112000,"SALMON, WHOLE/PIECES, IN OIL IN AIRTIGHT CONTAINER",1,,US Export,QTY,2015,4,797781
1604112000,"SALMON, WHOLE/PIECES, IN OIL IN AIRTIGHT CONTAINER",1,,US Export,QTY,2015,5,978427
1604112000,"SALMON, WHOLE/PIECES, IN OIL IN AIRTIGHT CONTAINER",1,,US Export,QTY,2015,6,972535
1604112000,"SALMON, WHOLE/PIECES, IN OIL IN AIRTIGHT CONTAINER",1,,US Export,QTY,2015,7,975434
1604112000,"SALMON, WHOLE/PIECES, IN OIL IN AIRTIGHT CONTAINER",1,,US Export,QTY,2015,8,490579
1604112000,"SALMON, WHOLE/PIECES, IN OIL IN AIRTIGHT CONTAINER",1,,US Export,QTY,2015,9,325130
